userId,movieId,rating
502,1147,5
19,751,4
542,7480,5
648,5569,4
268,7246,4.5
407,2335,5
111,1942,3.5
518,1658,5
607,1744,4.5
41,4175,4.5
380,2219,2
192,473,5
311,2613,3.5
253,2341,4.5
547,4622,2
529,2753,3
120,322,4.5
181,345,5
533,1114,3
468,5278,3
342,2004,4
153,1289,3
505,2340,3
36,526,4
273,4847,4
298,4687,5
522,6087,4
580,1932,2.5
509,1006,3.5
120,1524,5
207,43,0.5
496,310,2
575,1660,3
646,1342,3
544,8192,4.5
268,2213,3.5
547,6940,3.5
150,1816,2.5
191,525,2
596,4605,3.5
624,1666,4
117,7671,4.5
415,185,3
582,836,4
137,1047,2
441,3934,4
394,5499,4.5
463,2620,2
358,204,1
605,2403,3
79,3091,2.5
18,676,3
234,1557,3.5
615,7552,4
86,18,5
599,7896,5
73,3159,3.5
548,311,4
558,2335,4
371,5381,4
118,905,4
311,3432,3.5
294,1473,4
425,5524,0.5
426,6957,4
119,1582,4
299,2853,4.5
624,7590,4
346,3596,5
461,2005,4
427,964,5
509,4871,3.5
596,5610,3.5
624,5331,0.5
144,145,4
580,485,1.5
346,2536,5
199,7745,4
134,1563,4
596,4122,3.5
48,1235,3.5
205,6405,3.5
157,618,2.5
119,3114,5
97,6368,4.5
531,6940,4.5
113,62,4
436,1508,5
587,5916,4
586,322,4
391,89,1
306,483,4
418,6265,3.5
605,2206,3
285,1837,4
547,3200,4
8,1591,4
149,7552,5
428,2731,5
405,1523,4.5
475,6957,3.5
547,7948,3.5
284,635,3
518,736,4
312,859,4
342,986,5
177,1014,5
500,528,3
81,936,4
452,1002,4
355,3700,2
137,1694,3
615,7100,2
199,1225,4
262,3765,2.5
268,486,2
463,1676,3
150,1524,3
242,1130,4
161,342,5
285,965,5
431,303,5
285,2620,2
463,528,5
91,6362,4.5
472,4909,4.5
644,1905,4
34,1009,5
528,2233,3
416,171,1
350,2174,4
505,6447,3
561,1282,4
558,3096,5
533,2986,4
452,2491,3
407,3031,4
418,1244,1.5
15,4179,1
529,323,4
56,2612,2
295,3388,4.5
73,2308,3.5
282,3365,4
509,1120,2.5
101,5830,4
529,998,0.5
15,473,4
73,5486,3
34,1225,3
77,2410,4
30,1258,5
652,4783,4
15,7234,3
544,7832,4.5
457,5463,2.5
460,1046,4
486,428,3.5
30,1809,1
452,1890,0.5
570,4026,4
350,3459,3
412,1200,3
457,6906,3
287,4100,4
380,7905,3.5
547,7856,2
460,1025,4
530,1,5
214,2773,4
564,1732,2
380,2083,3
313,4667,4
376,732,5
440,145,4
22,2454,2.5
391,1023,4
524,120,3
285,997,5
232,522,5
564,789,3
169,6685,3
212,995,3.5
564,2399,5
179,3368,4
397,7195,4
15,8253,1.5
481,954,5
165,22,3.5
382,7047,4
509,76,3
160,871,3
472,954,4.5
268,6520,5
400,523,3
73,293,2.5
165,1963,3
292,1729,3.5
547,5544,3
316,3459,3.5
518,520,5
355,2794,4
195,3004,3
518,2182,5
111,4876,4
425,333,4
434,1058,4
21,1025,4
8,1840,4
642,1301,3
128,3859,3
123,259,5
169,7062,4.5
378,8536,4.5
547,7230,4.5
