movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,Babe (1995),Children|Drama
34,Carrington (1995),Drama|Romance
35,Dead Man Walking (1995),Crime|Drama
36,Across the Sea of Time (1995),Documentary|IMAX
37,It Takes Two (1995),Children|Comedy
38,Clueless (1995),Comedy|Romance
39,"Cry, the Beloved Country (1995)",Drama
40,Richard III (1995),Drama|War
41,Dead Presidents (1995),Action|Crime|Drama
42,Restoration (1995),Drama
43,Mortal Kombat (1995),Action|Adventure|Fantasy
44,To Die For (1995),Comedy|Drama|Thriller
45,How to Make an American Quilt (1995),Drama|Romance
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
48,When Night Is Falling (1995),Drama|Romance
49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,Mighty Aphrodite (1995),Comedy|Drama|Romance
51,Lamerica (1994),Adventure|Drama
52,"Big Green, The (1995)",Children|Comedy
53,Georgia (1995),Drama
54,Home for the Holidays (1995),Drama
55,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
56,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
57,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
58,Eye for an Eye (1996),Drama|Thriller
59,Mr. Holland's Opus (1995),Drama
60,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
61,Two if by Sea (1996),Comedy|Romance
62,Bio-Dome (1996),Comedy
63,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
64,French Twist (Gazon maudit) (1995),Comedy|Romance
65,Friday (1995),Comedy
66,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
67,Fair Game (1995),Action
68,Kicking and Screaming (1995),Comedy|Drama
69,"Misérables, Les (1995)",Drama|War
70,Bed of Roses (1996),Drama|Romance
71,Screamers (1995),Action|Sci-Fi|Thriller
72,Nico Icon (1995),Documentary
73,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
74,"Juror, The (1996)",Drama|Thriller
75,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
76,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
77,Antonia's Line (Antonia) (1995),Comedy|Drama
78,Once Upon a Time... When We Were Colored (1995),Drama|Romance
79,Last Summer in the Hamptons (1995),Comedy|Drama
80,Angels and Insects (1995),Drama|Romance
81,White Squall (1996),Action|Adventure|Drama
82,Dunston Checks In (1996),Children|Comedy
83,Black Sheep (1996),Comedy
84,Nick of Time (1995),Action|Thriller
85,Mary Reilly (1996),Drama|Horror|Thriller
86,Vampire in Brooklyn (1995),Comedy|Horror|Romance
87,Beautiful Girls (1996),Comedy|Drama|Romance
88,Broken Arrow (1996),Action|Adventure|Thriller
89,In the Bleak Midwinter (1995),Comedy|Drama
90,"Hate (Haine, La) (1995)",Crime|Drama
91,Shopping (1994),Action|Thriller
92,Heidi Fleiss: Hollywood Madam (1995),Documentary
93,City Hall (1996),Drama|Thriller
94,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
95,Mr. Wrong (1996),Comedy
96,Unforgettable (1996),Mystery|Sci-Fi|Thriller
97,Happy Gilmore (1996),Comedy
98,"Bridges of Madison County, The (1995)",Drama|Romance
99,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
100,Catwalk (1996),Documentary
101,Braveheart (1995),Action|Drama|War
102,Taxi Driver (1976),Crime|Drama|Thriller
103,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
104,Before and After (1996),Drama|Mystery
105,Margaret's Museum (1995),Drama
106,Anne Frank Remembered (1995),Documentary
107,"Young Poisoner's Handbook, The (1995)",Crime|Drama
108,If Lucy Fell (1996),Comedy|Romance
109,"Steal Big, Steal Little (1995)",Comedy
110,"Boys of St. Vincent, The (1992)",Drama
111,Boomerang (1992),Comedy|Romance
112,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
113,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
114,Flirting With Disaster (1996),Comedy
115,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
116,Pie in the Sky (1996),Comedy|Romance
117,Angela (1995),Drama
118,Frankie Starlight (1995),Drama|Romance
119,Jade (1995),Thriller
120,Down Periscope (1996),Comedy
121,Man of the Year (1995),Documentary
122,Up Close and Personal (1996),Drama|Romance
123,"Birdcage, The (1996)",Comedy
124,"Brothers McMullen, The (1995)",Comedy
125,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
126,"Amazing Panda Adventure, The (1995)",Adventure|Children
127,"Basketball Diaries, The (1995)",Drama
128,"Awfully Big Adventure, An (1995)",Drama
129,Amateur (1994),Crime|Drama|Thriller
130,Apollo 13 (1995),Adventure|Drama|IMAX
131,Rob Roy (1995),Action|Drama|Romance|War
132,"Addiction, The (1995)",Drama|Horror
133,Batman Forever (1995),Action|Adventure|Comedy|Crime
134,Beauty of the Day (Belle de jour) (1967),Drama
135,Beyond Rangoon (1995),Adventure|Drama|War
136,Blue in the Face (1995),Comedy|Drama
137,Canadian Bacon (1995),Comedy|War
138,Casper (1995),Adventure|Children
139,Clockers (1995),Crime|Drama|Mystery
140,Congo (1995),Action|Adventure|Mystery|Sci-Fi
141,Crimson Tide (1995),Drama|Thriller|War
142,Crumb (1994),Documentary
143,Desperado (1995),Action|Romance|Western
144,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
145,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
146,"Doom Generation, The (1995)",Comedy|Crime|Drama
147,Feast of July (1995),Drama
148,First Knight (1995),Action|Drama|Romance
149,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
150,Hackers (1995),Action|Adventure|Crime|Thriller
151,Jeffrey (1995),Comedy|Drama
152,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
153,Judge Dredd (1995),Action|Crime|Sci-Fi
154,Jury Duty (1995),Comedy
155,Kids (1995),Drama
156,Living in Oblivion (1995),Comedy
157,Lord of Illusions (1995),Horror
158,Love & Human Remains (1993),Comedy|Drama
159,Mad Love (1995),Drama|Romance
160,Mallrats (1995),Comedy|Romance
161,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
162,Mute Witness (1994),Comedy|Horror|Thriller
163,Nadja (1994),Drama
164,"Net, The (1995)",Action|Crime|Thriller
165,Nine Months (1995),Comedy|Romance
166,Party Girl (1995),Comedy
167,"Prophecy, The (1995)",Fantasy|Horror|Mystery
168,Reckless (1995),Comedy|Fantasy
169,Safe (1995),Thriller
170,"Scarlet Letter, The (1995)",Drama|Romance
171,Showgirls (1995),Drama
172,Smoke (1995),Comedy|Drama
173,Something to Talk About (1995),Comedy|Drama|Romance
174,Species (1995),Horror|Sci-Fi
175,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
176,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
177,"Tie That Binds, The (1995)",Thriller
178,Three Wishes (1995),Drama|Fantasy
179,Total Eclipse (1995),Drama|Romance
180,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
181,Under Siege 2: Dark Territory (1995),Action
182,Unstrung Heroes (1995),Comedy|Drama
183,Unzipped (1995),Documentary
184,"Walk in the Clouds, A (1995)",Drama|Romance
185,Waterworld (1995),Action|Adventure|Sci-Fi
186,White Man's Burden (1995),Drama
187,"Browning Version, The (1994)",Drama
188,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
189,Before the Rain (Pred dozhdot) (1994),Drama|War
190,Before Sunrise (1995),Drama|Romance
191,Billy Madison (1995),Comedy
192,"Babysitter, The (1995)",Drama|Thriller
193,Boys on the Side (1995),Comedy|Drama
194,"Cure, The (1995)",Drama
195,Castle Freak (1995),Horror
196,Circle of Friends (1995),Drama|Romance
197,Clerks (1994),Comedy
198,Don Juan DeMarco (1995),Comedy|Drama|Romance
199,Disclosure (1994),Drama|Thriller
200,Drop Zone (1994),Action|Thriller
201,Destiny Turns on the Radio (1995),Comedy
202,Death and the Maiden (1994),Drama|Thriller
203,Dolores Claiborne (1995),Drama|Thriller
204,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
205,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
206,Exotica (1994),Drama
207,Exit to Eden (1994),Comedy
208,Ed Wood (1994),Comedy|Drama
209,French Kiss (1995),Action|Comedy|Romance
210,Forget Paris (1995),Comedy|Romance
211,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
212,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
213,Hideaway (1995),Thriller
214,Fluke (1995),Children|Drama
215,Farinelli: il castrato (1994),Drama|Musical
216,Gordy (1995),Children|Comedy|Fantasy
217,Gumby: The Movie (1995),Animation|Children
218,The Glass Shield (1994),Crime|Drama
219,Hoop Dreams (1994),Documentary
220,Heavenly Creatures (1994),Crime|Drama
221,Houseguest (1994),Comedy
222,Immortal Beloved (1994),Drama|Romance
223,Heavyweights (Heavy Weights) (1995),Children|Comedy
224,"Hunted, The (1995)",Action
225,I.Q. (1994),Comedy|Romance
226,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
227,Jefferson in Paris (1995),Drama
228,"Jerky Boys, The (1995)",Comedy
229,Junior (1994),Comedy|Sci-Fi
230,Just Cause (1995),Mystery|Thriller
231,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
232,Kiss of Death (1995),Crime|Drama|Thriller
233,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
234,Little Women (1994),Drama
235,"Little Princess, A (1995)",Children|Drama
236,Ladybird Ladybird (1994),Drama
237,"Enfer, L' (1994)",Drama
238,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
239,Legends of the Fall (1994),Drama|Romance|War|Western
240,Major Payne (1995),Comedy
241,Little Odessa (1994),Crime|Drama
242,My Crazy Life (Mi vida loca) (1993),Drama
243,Love Affair (1994),Drama|Romance
244,Losing Isaiah (1995),Drama
245,"Madness of King George, The (1994)",Comedy|Drama
246,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
247,Man of the House (1995),Comedy
248,Mixed Nuts (1994),Comedy
249,Milk Money (1994),Comedy|Romance
250,Miracle on 34th Street (1994),Drama
251,Miami Rhapsody (1995),Comedy
252,My Family (1995),Drama
253,Murder in the First (1995),Drama|Thriller
254,Nobody's Fool (1994),Comedy|Drama|Romance
255,Nell (1994),Drama
256,New Jersey Drive (1995),Crime|Drama
257,Beyond Bedlam (1993),Drama|Horror
258,Nina Takes a Lover (1994),Comedy|Romance
259,Natural Born Killers (1994),Action|Crime|Thriller
260,Only You (1994),Comedy|Romance
261,Once Were Warriors (1994),Crime|Drama
262,Poison Ivy II (1996),Drama|Thriller
263,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
264,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
265,"Perez Family, The (1995)",Comedy|Romance
266,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
267,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
268,Priest (1994),Drama
269,Quiz Show (1994),Drama
270,Picture Bride (Bijo photo) (1994),Drama|Romance
271,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
272,"Quick and the Dead, The (1995)",Action|Thriller|Western
273,Roommates (1995),Comedy|Drama
274,Ready to Wear (Pret-A-Porter) (1994),Comedy
275,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
276,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
277,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
278,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
279,Stuart Saves His Family (1995),Comedy
280,"Swan Princess, The (1994)",Animation|Children
281,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
282,"Specialist, The (1994)",Action|Drama|Thriller
283,Stargate (1994),Action|Adventure|Sci-Fi
284,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
